id,sentence,subject_entity,object_entity,title,relation
22,"시카고 스타일 재즈는 에디 콘돈, 버드 프리먼, 지미 맥파트랜드, 데이브 터프 등 백인 뮤지션들이 개발했다.","{'word': '데이브 터프', 'start_idx': 37, 'end_idx': 42, 'type': 'ART'}","{'word': '시카고 스타일 재즈', 'start_idx': 0, 'end_idx': 9, 'type': 'GEN'}",재즈,arb
23,"시카고 스타일 재즈는 에디 콘돈, 버드 프리먼, 지미 맥파트랜드, 데이브 터프 등 백인 뮤지션들이 개발했다.","{'word': '버드 프리먼', 'start_idx': 19, 'end_idx': 24, 'type': 'ART'}","{'word': '에디 콘돈', 'start_idx': 12, 'end_idx': 16, 'type': 'ART'}",재즈,arb
24,"모달 재즈는 1950년대 후반 모드, 비트, 형식 구조 없이 연주하는 것을 탐구한 프리 재즈처럼 이러한 것을 기본으로 삼아 발전했다.","{'word': '모달 재즈', 'start_idx': 0, 'end_idx': 4, 'type': 'GEN'}","{'word': '1950년대 후반', 'start_idx': 7, 'end_idx': 15, 'type': 'DAT'}",재즈,org
25,"모달 재즈는 1950년대 후반 모드, 비트, 형식 구조 없이 연주하는 것을 탐구한 프리 재즈처럼 이러한 것을 기본으로 삼아 발전했다.","{'word': '1950년대 후반', 'start_idx': 7, 'end_idx': 15, 'type': 'DAT'}","{'word': '모달 재즈', 'start_idx': 0, 'end_idx': 4, 'type': 'GEN'}",재즈,arb
26,"새로운 형태의 불협화음이 재즈에 도입되었고, 비밥의 화음 진행은 흔히 인기 있는 스윙 시대의 곡조에서 직접 취하여 새롭고 더 복잡한 멜로디와/또는 더 복잡한 조화를 이루며 재사용되었다.","{'word': '비밥', 'start_idx': 25, 'end_idx': 26, 'type': 'GEN'}","{'word': '스윙', 'start_idx': 45, 'end_idx': 46, 'type': 'GEN'}",재즈,arb
27,"새로운 형태의 불협화음이 재즈에 도입되었고, 비밥의 화음 진행은 흔히 인기 있는 스윙 시대의 곡조에서 직접 취하여 새롭고 더 복잡한 멜로디와/또는 더 복잡한 조화를 이루며 재사용되었다.","{'word': '스윙', 'start_idx': 45, 'end_idx': 46, 'type': 'GEN'}","{'word': '재즈', 'start_idx': 14, 'end_idx': 15, 'type': 'GEN'}",재즈,arb
28,"새로운 형태의 불협화음이 재즈에 도입되었고, 비밥의 화음 진행은 흔히 인기 있는 스윙 시대의 곡조에서 직접 취하여 새롭고 더 복잡한 멜로디와/또는 더 복잡한 조화를 이루며 재사용되었다.","{'word': '재즈', 'start_idx': 14, 'end_idx': 15, 'type': 'GEN'}","{'word': '스윙', 'start_idx': 45, 'end_idx': 46, 'type': 'GEN'}",재즈,arb
29,"이것은 딕시랜드식 프리윙 재즈의 전국적인 부활과 동시에 클라리넷 연주자 조지 루이스, 코네티스트 빌 데이비슨, 트롬본 연주자 투르크 머피와 같은 연주자들은 보수적인 재즈 비평가들로부터 빅 밴드보다 더 진정성 있는 것으로 환영받았다.","{'word': '딕시랜드식 프리윙 재즈', 'start_idx': 4, 'end_idx': 15, 'type': 'GEN'}","{'word': '조지 루이스', 'start_idx': 40, 'end_idx': 45, 'type': 'ART'}",재즈,arb
30,"이것은 딕시랜드식 프리윙 재즈의 전국적인 부활과 동시에 클라리넷 연주자 조지 루이스, 코네티스트 빌 데이비슨, 트롬본 연주자 투르크 머피와 같은 연주자들은 보수적인 재즈 비평가들로부터 빅 밴드보다 더 진정성 있는 것으로 환영받았다.","{'word': '재즈', 'start_idx': 92, 'end_idx': 93, 'type': 'GEN'}","{'word': '딕시랜드식 프리윙 재즈', 'start_idx': 4, 'end_idx': 15, 'type': 'GEN'}",재즈,arb
31,"이것은 딕시랜드식 프리윙 재즈의 전국적인 부활과 동시에 클라리넷 연주자 조지 루이스, 코네티스트 빌 데이비슨, 트롬본 연주자 투르크 머피와 같은 연주자들은 보수적인 재즈 비평가들로부터 빅 밴드보다 더 진정성 있는 것으로 환영받았다.","{'word': '재즈', 'start_idx': 92, 'end_idx': 93, 'type': 'GEN'}","{'word': '투르크 머피', 'start_idx': 70, 'end_idx': 75, 'type': 'ART'}",재즈,arb
32,"이것은 딕시랜드식 프리윙 재즈의 전국적인 부활과 동시에 클라리넷 연주자 조지 루이스, 코네티스트 빌 데이비슨, 트롬본 연주자 투르크 머피와 같은 연주자들은 보수적인 재즈 비평가들로부터 빅 밴드보다 더 진정성 있는 것으로 환영받았다.","{'word': '빌 데이비슨', 'start_idx': 54, 'end_idx': 59, 'type': 'ART'}","{'word': '투르크 머피', 'start_idx': 70, 'end_idx': 75, 'type': 'ART'}",재즈,arb
33,"이것은 딕시랜드식 프리윙 재즈의 전국적인 부활과 동시에 클라리넷 연주자 조지 루이스, 코네티스트 빌 데이비슨, 트롬본 연주자 투르크 머피와 같은 연주자들은 보수적인 재즈 비평가들로부터 빅 밴드보다 더 진정성 있는 것으로 환영받았다.","{'word': '조지 루이스', 'start_idx': 40, 'end_idx': 45, 'type': 'ART'}","{'word': '재즈', 'start_idx': 92, 'end_idx': 93, 'type': 'GEN'}",재즈,arb
34,"이것은 딕시랜드식 프리윙 재즈의 전국적인 부활과 동시에 클라리넷 연주자 조지 루이스, 코네티스트 빌 데이비슨, 트롬본 연주자 투르크 머피와 같은 연주자들은 보수적인 재즈 비평가들로부터 빅 밴드보다 더 진정성 있는 것으로 환영받았다.","{'word': '빌 데이비슨', 'start_idx': 54, 'end_idx': 59, 'type': 'ART'}","{'word': '조지 루이스', 'start_idx': 40, 'end_idx': 45, 'type': 'ART'}",재즈,arb
35,"남북전쟁 이후(1865년 이후) 흑인은 군용 베이스 드럼, 스네어 드럼 등을 얻을 수 있었고 리듬을 특징으로 하는 흑인 최초의 드럼과 음악이 등장했다.","{'word': '1865년', 'start_idx': 8, 'end_idx': 12, 'type': 'DAT'}","{'word': '남북전쟁', 'start_idx': 0, 'end_idx': 3, 'type': 'DAT'}",재즈,arb
36,루이 암스트롱은 스토리빌에서 경력을 시작하여 시카고에서 성공을 거두었다.,"{'word': '시카고', 'start_idx': 25, 'end_idx': 27, 'type': 'LOC'}","{'word': '스토리빌', 'start_idx': 9, 'end_idx': 12, 'type': 'LOC'}",재즈,arb
37,루이 암스트롱은 스토리빌에서 경력을 시작하여 시카고에서 성공을 거두었다.,"{'word': '시카고', 'start_idx': 25, 'end_idx': 27, 'type': 'LOC'}","{'word': '루이 암스트롱', 'start_idx': 0, 'end_idx': 6, 'type': 'ART'}",재즈,arb
38,루이 암스트롱은 스토리빌에서 경력을 시작하여 시카고에서 성공을 거두었다.,"{'word': '스토리빌', 'start_idx': 9, 'end_idx': 12, 'type': 'LOC'}","{'word': '루이 암스트롱', 'start_idx': 0, 'end_idx': 6, 'type': 'ART'}",재즈,arb
39,루이 암스트롱은 스토리빌에서 경력을 시작하여 시카고에서 성공을 거두었다.,"{'word': '루이 암스트롱', 'start_idx': 0, 'end_idx': 6, 'type': 'ART'}","{'word': '시카고', 'start_idx': 25, 'end_idx': 27, 'type': 'LOC'}",재즈,arb
40,1950년대 이후 많은 저명한 재즈 작곡가와 음악가들에 공연되고 녹음되었다.,"{'word': '재즈', 'start_idx': 17, 'end_idx': 18, 'type': 'GEN'}","{'word': '1950년대', 'start_idx': 0, 'end_idx': 5, 'type': 'DAT'}",재즈,arb
41,1950년대 이후 많은 저명한 재즈 작곡가와 음악가들에 공연되고 녹음되었다.,"{'word': '1950년대', 'start_idx': 0, 'end_idx': 5, 'type': 'DAT'}","{'word': '재즈', 'start_idx': 17, 'end_idx': 18, 'type': 'GEN'}",재즈,arb
42,암스트롱은 뉴올리언스 스타일의 트럼펫 연주법을 대중화한 다음 그것을 확장시켰다.,"{'word': '뉴올리언스 스타일', 'start_idx': 6, 'end_idx': 14, 'type': 'GEN'}","{'word': '암스트롱', 'start_idx': 0, 'end_idx': 3, 'type': 'ART'}",재즈,org
43,암스트롱은 뉴올리언스 스타일의 트럼펫 연주법을 대중화한 다음 그것을 확장시켰다.,"{'word': '암스트롱', 'start_idx': 0, 'end_idx': 3, 'type': 'ART'}","{'word': '뉴올리언스 스타일', 'start_idx': 6, 'end_idx': 14, 'type': 'GEN'}",재즈,arb
44,"지난 10년 동안 전자 악기를 실험했던 다른 음악가들, 예를 들어 빌 에반스, 조 헨더슨, 스탠 게츠 등이 1980년대까지 전자 악기를 버렸다.","{'word': '1980년대', 'start_idx': 60, 'end_idx': 65, 'type': 'DAT'}","{'word': '스탠 게츠', 'start_idx': 51, 'end_idx': 55, 'type': 'ART'}",재즈,arb
45,"지난 10년 동안 전자 악기를 실험했던 다른 음악가들, 예를 들어 빌 에반스, 조 헨더슨, 스탠 게츠 등이 1980년대까지 전자 악기를 버렸다.","{'word': '1980년대', 'start_idx': 60, 'end_idx': 65, 'type': 'DAT'}","{'word': '빌 에반스', 'start_idx': 37, 'end_idx': 41, 'type': 'ART'}",재즈,arb
46,"지난 10년 동안 전자 악기를 실험했던 다른 음악가들, 예를 들어 빌 에반스, 조 헨더슨, 스탠 게츠 등이 1980년대까지 전자 악기를 버렸다.","{'word': '빌 에반스', 'start_idx': 37, 'end_idx': 41, 'type': 'ART'}","{'word': '1980년대', 'start_idx': 60, 'end_idx': 65, 'type': 'DAT'}",재즈,arb
47,"지난 10년 동안 전자 악기를 실험했던 다른 음악가들, 예를 들어 빌 에반스, 조 헨더슨, 스탠 게츠 등이 1980년대까지 전자 악기를 버렸다.","{'word': '조 헨더슨', 'start_idx': 44, 'end_idx': 48, 'type': 'ART'}","{'word': '빌 에반스', 'start_idx': 37, 'end_idx': 41, 'type': 'ART'}",재즈,arb
48,"지난 10년 동안 전자 악기를 실험했던 다른 음악가들, 예를 들어 빌 에반스, 조 헨더슨, 스탠 게츠 등이 1980년대까지 전자 악기를 버렸다.","{'word': '스탠 게츠', 'start_idx': 51, 'end_idx': 55, 'type': 'ART'}","{'word': '조 헨더슨', 'start_idx': 44, 'end_idx': 48, 'type': 'ART'}",재즈,arb
49,"1920년부터 1933년까지 미국의 금주법은 주류 판매를 금지했고, 그 결과 불법 장소가 생겨나 ""재즈 시대""의 활기찬 장소가 되었고, 대중음악, 댄스곡, 참신한 노래, 쇼곡 등을 주최하였다.","{'word': '미국', 'start_idx': 16, 'end_idx': 17, 'type': 'LOC'}","{'word': '1920년부터 1933년까지', 'start_idx': 0, 'end_idx': 14, 'type': 'DAT'}",재즈,arb
50,"1920년부터 1933년까지 미국의 금주법은 주류 판매를 금지했고, 그 결과 불법 장소가 생겨나 ""재즈 시대""의 활기찬 장소가 되었고, 대중음악, 댄스곡, 참신한 노래, 쇼곡 등을 주최하였다.","{'word': '미국', 'start_idx': 16, 'end_idx': 17, 'type': 'LOC'}","{'word': '대중음악', 'start_idx': 76, 'end_idx': 79, 'type': 'GEN'}",재즈,arb
51,"1920년부터 1933년까지 미국의 금주법은 주류 판매를 금지했고, 그 결과 불법 장소가 생겨나 ""재즈 시대""의 활기찬 장소가 되었고, 대중음악, 댄스곡, 참신한 노래, 쇼곡 등을 주최하였다.","{'word': '미국', 'start_idx': 16, 'end_idx': 17, 'type': 'LOC'}","{'word': '재즈', 'start_idx': 55, 'end_idx': 56, 'type': 'GEN'}",재즈,arb
52,"1920년부터 1933년까지 미국의 금주법은 주류 판매를 금지했고, 그 결과 불법 장소가 생겨나 ""재즈 시대""의 활기찬 장소가 되었고, 대중음악, 댄스곡, 참신한 노래, 쇼곡 등을 주최하였다.","{'word': '1920년부터 1933년까지', 'start_idx': 0, 'end_idx': 14, 'type': 'DAT'}","{'word': '미국', 'start_idx': 16, 'end_idx': 17, 'type': 'LOC'}",재즈,arb
53,"1920년부터 1933년까지 미국의 금주법은 주류 판매를 금지했고, 그 결과 불법 장소가 생겨나 ""재즈 시대""의 활기찬 장소가 되었고, 대중음악, 댄스곡, 참신한 노래, 쇼곡 등을 주최하였다.","{'word': '1920년부터 1933년까지', 'start_idx': 0, 'end_idx': 14, 'type': 'DAT'}","{'word': '재즈', 'start_idx': 55, 'end_idx': 56, 'type': 'GEN'}",재즈,arb
54,"1920년부터 1933년까지 미국의 금주법은 주류 판매를 금지했고, 그 결과 불법 장소가 생겨나 ""재즈 시대""의 활기찬 장소가 되었고, 대중음악, 댄스곡, 참신한 노래, 쇼곡 등을 주최하였다.","{'word': '재즈', 'start_idx': 55, 'end_idx': 56, 'type': 'GEN'}","{'word': '대중음악', 'start_idx': 76, 'end_idx': 79, 'type': 'GEN'}",재즈,arb
55,"1920년부터 1933년까지 미국의 금주법은 주류 판매를 금지했고, 그 결과 불법 장소가 생겨나 ""재즈 시대""의 활기찬 장소가 되었고, 대중음악, 댄스곡, 참신한 노래, 쇼곡 등을 주최하였다.","{'word': '대중음악', 'start_idx': 76, 'end_idx': 79, 'type': 'GEN'}","{'word': '미국', 'start_idx': 16, 'end_idx': 17, 'type': 'LOC'}",재즈,arb
56,"1920년부터 1933년까지 미국의 금주법은 주류 판매를 금지했고, 그 결과 불법 장소가 생겨나 ""재즈 시대""의 활기찬 장소가 되었고, 대중음악, 댄스곡, 참신한 노래, 쇼곡 등을 주최하였다.","{'word': '재즈', 'start_idx': 55, 'end_idx': 56, 'type': 'GEN'}","{'word': '1920년부터 1933년까지', 'start_idx': 0, 'end_idx': 14, 'type': 'DAT'}",재즈,arb
57,"하바나와 뉴올리언스의 음악가들은 두 도시 사이를 매일 두 번 왕복하는 나룻배를 타고 공연을 하였고, 하바네라는 음악적으로 비옥한 이 도시에 재빨리 뿌리를 내렸다.","{'word': '하바네라', 'start_idx': 56, 'end_idx': 59, 'type': 'GEN'}","{'word': '뉴올리언스', 'start_idx': 5, 'end_idx': 9, 'type': 'LOC'}",재즈,org
58,"하바나와 뉴올리언스의 음악가들은 두 도시 사이를 매일 두 번 왕복하는 나룻배를 타고 공연을 하였고, 하바네라는 음악적으로 비옥한 이 도시에 재빨리 뿌리를 내렸다.","{'word': '하바네라', 'start_idx': 56, 'end_idx': 59, 'type': 'GEN'}","{'word': '하바나', 'start_idx': 0, 'end_idx': 2, 'type': 'LOC'}",재즈,org
59,"하바나와 뉴올리언스의 음악가들은 두 도시 사이를 매일 두 번 왕복하는 나룻배를 타고 공연을 하였고, 하바네라는 음악적으로 비옥한 이 도시에 재빨리 뿌리를 내렸다.","{'word': '하바나', 'start_idx': 0, 'end_idx': 2, 'type': 'LOC'}","{'word': '하바네라', 'start_idx': 56, 'end_idx': 59, 'type': 'GEN'}",재즈,arb
60,"하바나와 뉴올리언스의 음악가들은 두 도시 사이를 매일 두 번 왕복하는 나룻배를 타고 공연을 하였고, 하바네라는 음악적으로 비옥한 이 도시에 재빨리 뿌리를 내렸다.","{'word': '뉴올리언스', 'start_idx': 5, 'end_idx': 9, 'type': 'LOC'}","{'word': '하바나', 'start_idx': 0, 'end_idx': 2, 'type': 'LOC'}",재즈,arb
61,"프린스턴 대학의 헨리 반 다이크는 이렇게 썼다. ""...이건 전혀 음악이 아니다. 그것은 단지 청각 신경의 짜증이요, 육체적 정열의 끈을 관능적으로 놀리는 것일 뿐이오.""라 말했으며, 또한 뉴욕타임스는 시베리아 마을 사람들이 곰을 겁탈하기 위해 재즈를 사용했지만 마을 사람들은 냄비와 팬을 사용했다고 보도했다.","{'word': '뉴욕타임스', 'start_idx': 106, 'end_idx': 110, 'type': 'COM'}","{'word': '재즈', 'start_idx': 137, 'end_idx': 138, 'type': 'GEN'}",재즈,arb
62,"프린스턴 대학의 헨리 반 다이크는 이렇게 썼다. ""...이건 전혀 음악이 아니다. 그것은 단지 청각 신경의 짜증이요, 육체적 정열의 끈을 관능적으로 놀리는 것일 뿐이오.""라 말했으며, 또한 뉴욕타임스는 시베리아 마을 사람들이 곰을 겁탈하기 위해 재즈를 사용했지만 마을 사람들은 냄비와 팬을 사용했다고 보도했다.","{'word': '재즈', 'start_idx': 137, 'end_idx': 138, 'type': 'GEN'}","{'word': '뉴욕타임스', 'start_idx': 106, 'end_idx': 110, 'type': 'COM'}",재즈,arb
63,"1960년대 후반과 1970년대 초에는 재즈의 즉흥 연주와 록 리듬, 전자 악기를 결합하여 재즈 록 퓨전이라는 하이브리드 형태가 개발되었고, 지미 헨드릭스, 프랭크 자파 등 록 뮤지션들의 무대 사운드를 결합하였다.","{'word': '재즈', 'start_idx': 22, 'end_idx': 23, 'type': 'GEN'}","{'word': '재즈 록 퓨전', 'start_idx': 51, 'end_idx': 57, 'type': 'GEN'}",재즈,org
64,"1960년대 후반과 1970년대 초에는 재즈의 즉흥 연주와 록 리듬, 전자 악기를 결합하여 재즈 록 퓨전이라는 하이브리드 형태가 개발되었고, 지미 헨드릭스, 프랭크 자파 등 록 뮤지션들의 무대 사운드를 결합하였다.","{'word': '록', 'start_idx': 97, 'end_idx': 97, 'type': 'GEN'}","{'word': '지미 헨드릭스', 'start_idx': 79, 'end_idx': 85, 'type': 'ART'}",재즈,org
65,"1960년대 후반과 1970년대 초에는 재즈의 즉흥 연주와 록 리듬, 전자 악기를 결합하여 재즈 록 퓨전이라는 하이브리드 형태가 개발되었고, 지미 헨드릭스, 프랭크 자파 등 록 뮤지션들의 무대 사운드를 결합하였다.","{'word': '록', 'start_idx': 97, 'end_idx': 97, 'type': 'GEN'}","{'word': '프랭크 자파', 'start_idx': 88, 'end_idx': 93, 'type': 'ART'}",재즈,org
66,"1960년대 후반과 1970년대 초에는 재즈의 즉흥 연주와 록 리듬, 전자 악기를 결합하여 재즈 록 퓨전이라는 하이브리드 형태가 개발되었고, 지미 헨드릭스, 프랭크 자파 등 록 뮤지션들의 무대 사운드를 결합하였다.","{'word': '재즈 록 퓨전', 'start_idx': 51, 'end_idx': 57, 'type': 'GEN'}","{'word': '재즈', 'start_idx': 22, 'end_idx': 23, 'type': 'GEN'}",재즈,arb
67,"1960년대 후반과 1970년대 초에는 재즈의 즉흥 연주와 록 리듬, 전자 악기를 결합하여 재즈 록 퓨전이라는 하이브리드 형태가 개발되었고, 지미 헨드릭스, 프랭크 자파 등 록 뮤지션들의 무대 사운드를 결합하였다.","{'word': '재즈 록 퓨전', 'start_idx': 51, 'end_idx': 57, 'type': 'GEN'}","{'word': '록', 'start_idx': 97, 'end_idx': 97, 'type': 'GEN'}",재즈,arb
68,"1960년대 후반과 1970년대 초에는 재즈의 즉흥 연주와 록 리듬, 전자 악기를 결합하여 재즈 록 퓨전이라는 하이브리드 형태가 개발되었고, 지미 헨드릭스, 프랭크 자파 등 록 뮤지션들의 무대 사운드를 결합하였다.","{'word': '록', 'start_idx': 33, 'end_idx': 33, 'type': 'GEN'}","{'word': '1960년대 후반과 1970년대 초', 'start_idx': 0, 'end_idx': 18, 'type': 'DAT'}",재즈,arb
69,"1960년대 후반과 1970년대 초에는 재즈의 즉흥 연주와 록 리듬, 전자 악기를 결합하여 재즈 록 퓨전이라는 하이브리드 형태가 개발되었고, 지미 헨드릭스, 프랭크 자파 등 록 뮤지션들의 무대 사운드를 결합하였다.","{'word': '1960년대 후반과 1970년대 초', 'start_idx': 0, 'end_idx': 18, 'type': 'DAT'}","{'word': '프랭크 자파', 'start_idx': 88, 'end_idx': 93, 'type': 'ART'}",재즈,arb
