id,sentence,subject_entity,object_entity,relation
29,"또한 T.I., 영 지지, 릴 웨인을 중심으로 남부 힙합은 그 어느 때보다 시장에서 높은 점유율을 차지한다.","{'word': '릴 웨인', 'start_idx': 15, 'end_idx': 18, 'type': 'ART'}","{'word': 'T.I.', 'start_idx': 3, 'end_idx': 6, 'type': 'ART'}",None
30,"또한 T.I., 영 지지, 릴 웨인을 중심으로 남부 힙합은 그 어느 때보다 시장에서 높은 점유율을 차지한다.","{'word': '남부 힙합', 'start_idx': 26, 'end_idx': 30, 'type': 'GEN'}","{'word': '릴 웨인', 'start_idx': 15, 'end_idx': 18, 'type': 'ART'}",None
40,"에미넴의 <The Marshall Mathers LP>, 제이 Z의 <The Blueprint>, 나스의 <Stillmatic>, 50센트의 <Get Rich or Die Tryin’>, T.I.의 <KING>, 영 지지의 <Let’s Get It: Thug Motivation 101>, 릴 웨인의 <Tha Carter III>, 카니예 웨스트의 <Late Registration> 등이 있다.","{'word': '영 지지', 'start_idx': 119, 'end_idx': 122, 'type': 'ART'}","{'word': '50센트', 'start_idx': 73, 'end_idx': 76, 'type': 'ART'}",None
44,"이 시기의 빼놓을 수 없는 사건들로는 투팍이 겪은 총격사건, 성폭행 사건, 투팍과 비기의 다툼을 이야기할 수 있을 것이다.","{'word': '투팍', 'start_idx': 21, 'end_idx': 22, 'type': 'ART'}","{'word': '비기', 'start_idx': 46, 'end_idx': 47, 'type': 'ART'}",None
47,카니예 웨스트 또한 이 시기에 등장하여 자신의 수 많은 음악 스타일을 보여주고 Jay Z의 <The Blueprint>를 돕는다.,"{'word': 'The Blueprint', 'start_idx': 52, 'end_idx': 64, 'type': 'POH'}","{'word': '카니예 웨스트', 'start_idx': 0, 'end_idx': 6, 'type': 'ART'}",None
50,"특히 이 시기에 에미넴, 릴웨인은 단순히 힙합 슈퍼스타로 머무는 것이 아니라 하나의 아이콘이 되었다.","{'word': '하나의 아이콘', 'start_idx': 43, 'end_idx': 49, 'type': 'POH'}","{'word': '에미넴', 'start_idx': 9, 'end_idx': 11, 'type': 'ART'}",None
51,"특히 이 시기에 에미넴, 릴웨인은 단순히 힙합 슈퍼스타로 머무는 것이 아니라 하나의 아이콘이 되었다.","{'word': '에미넴', 'start_idx': 9, 'end_idx': 11, 'type': 'ART'}","{'word': '하나의 아이콘', 'start_idx': 43, 'end_idx': 49, 'type': 'POH'}",None
52,"특히 이 시기에 에미넴, 릴웨인은 단순히 힙합 슈퍼스타로 머무는 것이 아니라 하나의 아이콘이 되었다.","{'word': '힙합', 'start_idx': 23, 'end_idx': 24, 'type': 'GEN'}","{'word': '하나의 아이콘', 'start_idx': 43, 'end_idx': 49, 'type': 'POH'}",None
56,"Big L, Big Pun, LL Cool J 또한 당시에는 메인스트림에서는 완전한 외부 영역이었지만 남부에서는 스리 6 마피아, U.G.K 등이 2000년대 남부 힙합의 전성기를 위한 그들만의 기틀을 다지고 있었다.","{'word': '남부 힙합', 'start_idx': 89, 'end_idx': 93, 'type': 'GEN'}","{'word': 'LL Cool J', 'start_idx': 16, 'end_idx': 24, 'type': 'ART'}",None
61,"이외에도 Rick Ross를 중심으로 한 MMG와 Meek Mill, Young Thug, A$AP Rocky, J. Cole, YG, Future, 2 Chainz, 21 Savage, Lil Yachty 등 2010년대로 진입함과 함께 힙합은 그 어느 때 보다 많은 모습을 가지고 있다.","{'word': '힙합', 'start_idx': 134, 'end_idx': 135, 'type': 'GEN'}","{'word': 'J. Cole', 'start_idx': 63, 'end_idx': 69, 'type': 'ART'}",None
66,"밀리언 셀러들이 속속들이 등장하고 슈퍼스타라고 이야기 될 만한 아티스트의 등장 그와 함께 수많은 사건, 사고 등 90년대부터 힙합은 누구도 부정할 수 없게 미국을 대표하는 음악 중 하나로 성장한다.","{'word': '미국을 대표하는 음악', 'start_idx': 87, 'end_idx': 97, 'type': 'POH'}","{'word': '90년대', 'start_idx': 63, 'end_idx': 66, 'type': 'DAT'}",None
68,켄드릭 라마는 한 동안 메인스트림 힙합에서 멀어졌던 현실 비판적 요소를 다시 중심으로 도입하고자 노력한다.,"{'word': '메인스트림 힙합', 'start_idx': 13, 'end_idx': 20, 'type': 'GEN'}","{'word': '켄드릭 라마', 'start_idx': 0, 'end_idx': 5, 'type': 'ART'}",None
71,"남부 힙합의 등장과 지배는 음악적, 문화적 요소를 포함하여 힙합의 많은 부분을 변화시켰다.","{'word': '남부 힙합', 'start_idx': 0, 'end_idx': 4, 'type': 'GEN'}","{'word': '힙합', 'start_idx': 33, 'end_idx': 34, 'type': 'GEN'}",None
74,케이스 카우보이는 군대에 입대하여 행군을 하던 중 즉흥적으로 병사들이 외치는 “힙 힙 합”소리에서 재즈의 즉흥 음악과 같다는 영감을 얻었다고 한다.,"{'word': '재즈', 'start_idx': 55, 'end_idx': 56, 'type': 'GEN'}","{'word': '케이스 카우보이', 'start_idx': 0, 'end_idx': 7, 'type': 'ART'}",None
75,케이스 카우보이는 군대에 입대하여 행군을 하던 중 즉흥적으로 병사들이 외치는 “힙 힙 합”소리에서 재즈의 즉흥 음악과 같다는 영감을 얻었다고 한다.,"{'word': '힙 힙 합', 'start_idx': 44, 'end_idx': 48, 'type': 'POH'}","{'word': '케이스 카우보이', 'start_idx': 0, 'end_idx': 7, 'type': 'ART'}",None
76,속삭이는 듯한 클라우드 랩 또한 등장하고 랩이라는 것의 형태가 매우 다양해진다.,"{'word': '클라우드 랩', 'start_idx': 8, 'end_idx': 13, 'type': 'GEN'}","{'word': '랩', 'start_idx': 23, 'end_idx': 23, 'type': 'GEN'}",None
78,2000년대의 힙합은 기존의 기틀을 바탕으로 더 많은 상승가도를 달린다.,"{'word': '힙합', 'start_idx': 8, 'end_idx': 9, 'type': 'GEN'}","{'word': '2000년대', 'start_idx': 0, 'end_idx': 5, 'type': 'DAT'}",None
81,90년대는 힙합이 미국 대중음악의 중심 중 하나의 축을 형성하게 된 시대라고 보아도 무방할 것이다.,"{'word': '미국 대중음악', 'start_idx': 10, 'end_idx': 16, 'type': 'GEN'}","{'word': '힙합', 'start_idx': 6, 'end_idx': 7, 'type': 'GEN'}",None
84,"대표적인 앨범으로는 카니예 웨스트의 <My Beautiful Dark Twisted Fantasy>, 드레이크의 <Take Care>, 켄드릭 라마의 <good kid, m.A.A.d city>, 니키 미나즈의 <The Pinkprint>, Chance The Rapper의 믹스테잎 <Coloring Book>등이 있다.","{'word': '카니예 웨스트', 'start_idx': 11, 'end_idx': 17, 'type': 'ART'}","{'word': '니키 미나즈', 'start_idx': 110, 'end_idx': 115, 'type': 'ART'}",None
85,"대표적인 앨범으로는 카니예 웨스트의 <My Beautiful Dark Twisted Fantasy>, 드레이크의 <Take Care>, 켄드릭 라마의 <good kid, m.A.A.d city>, 니키 미나즈의 <The Pinkprint>, Chance The Rapper의 믹스테잎 <Coloring Book>등이 있다.","{'word': 'good kid, m.A.A.d city', 'start_idx': 85, 'end_idx': 106, 'type': 'POH'}","{'word': '드레이크', 'start_idx': 57, 'end_idx': 60, 'type': 'ART'}",None
87,"케이스 카우보이를 비롯한 러브버그 스타스키, DJ 할리우드와 같은 음악인들이 활동하던 시기 이들의 음악은 디스코 랩으로 불렸다.","{'word': '케이스 카우보이', 'start_idx': 0, 'end_idx': 7, 'type': 'ART'}","{'word': 'DJ 할리우드', 'start_idx': 25, 'end_idx': 31, 'type': 'ART'}",None
88,"케이스 카우보이를 비롯한 러브버그 스타스키, DJ 할리우드와 같은 음악인들이 활동하던 시기 이들의 음악은 디스코 랩으로 불렸다.","{'word': '디스코 랩', 'start_idx': 59, 'end_idx': 63, 'type': 'GEN'}","{'word': '러브버그 스타스키', 'start_idx': 14, 'end_idx': 22, 'type': 'ART'}",None
89,"힙합의 초기에는 팝, 펑크, 레게, 소울, 재즈 등 대중음악에서 추출한 샘플링이나 프로그래밍을 중심으로 한 트랙을 녹음해서 블록파티에 즉흥적인 춤판에 쓰다가, 음악을 틀던 DJ들은 곡 몇 가지 부분에 관중들을 향해 분위기를 맞추기 위해 이런 저런 말들이나 후렴구 도는 미사여구들을 뱉었는데, 그것이 차차 디제이로부터 분화되어 스테이지 위에서 사회를 보는 역할이 따로 만들어져 MC 또는 래퍼가 생겨났고, 그렇게 랩이라는 개념이 탄생하였다.","{'word': '대중음악', 'start_idx': 29, 'end_idx': 32, 'type': 'GEN'}","{'word': '랩', 'start_idx': 230, 'end_idx': 230, 'type': 'GEN'}",None
90,"힙합의 초기에는 팝, 펑크, 레게, 소울, 재즈 등 대중음악에서 추출한 샘플링이나 프로그래밍을 중심으로 한 트랙을 녹음해서 블록파티에 즉흥적인 춤판에 쓰다가, 음악을 틀던 DJ들은 곡 몇 가지 부분에 관중들을 향해 분위기를 맞추기 위해 이런 저런 말들이나 후렴구 도는 미사여구들을 뱉었는데, 그것이 차차 디제이로부터 분화되어 스테이지 위에서 사회를 보는 역할이 따로 만들어져 MC 또는 래퍼가 생겨났고, 그렇게 랩이라는 개념이 탄생하였다.","{'word': '펑크', 'start_idx': 12, 'end_idx': 13, 'type': 'GEN'}","{'word': '랩', 'start_idx': 230, 'end_idx': 230, 'type': 'GEN'}",None
92,드레이크는 논란 속에 기존 힙합에서 등한시 되던 감성적인 측면을 자신의 앨범으로 적극적으로 들여오고 수 많은 형태의 음악을 보여준다.,"{'word': '힙합', 'start_idx': 15, 'end_idx': 16, 'type': 'GEN'}","{'word': '드레이크', 'start_idx': 0, 'end_idx': 3, 'type': 'ART'}",None
94,니키 미나즈는 남성중심적인 힙합에서 여성 래퍼지만 최고에 자리에 존재한다.,"{'word': '여성 래퍼', 'start_idx': 20, 'end_idx': 24, 'type': 'POH'}","{'word': '니키 미나즈', 'start_idx': 0, 'end_idx': 5, 'type': 'ART'}",None
95,니키 미나즈는 남성중심적인 힙합에서 여성 래퍼지만 최고에 자리에 존재한다.,"{'word': '힙합', 'start_idx': 15, 'end_idx': 16, 'type': 'GEN'}","{'word': '여성 래퍼', 'start_idx': 20, 'end_idx': 24, 'type': 'POH'}",None
99,투팍과 비기의 다툼은 크게 미국 동부의 힙합과 서부의 힙합간의 대립으로 번지지만 투팍과 비기 모두의 죽음이라는 비극적인 결말로 종결을 맺는다.,"{'word': '비기', 'start_idx': 4, 'end_idx': 5, 'type': 'ART'}","{'word': '투팍', 'start_idx': 45, 'end_idx': 46, 'type': 'ART'}",None
100,투팍과 비기의 다툼은 크게 미국 동부의 힙합과 서부의 힙합간의 대립으로 번지지만 투팍과 비기 모두의 죽음이라는 비극적인 결말로 종결을 맺는다.,"{'word': '미국 동부의 힙합', 'start_idx': 15, 'end_idx': 23, 'type': 'GEN'}","{'word': '투팍', 'start_idx': 0, 'end_idx': 1, 'type': 'ART'}",None
104,이외에도 많은 사건이 있지만 역시 90년대 힙합을 대표하는 아이콘은 투팍과 그의 라이벌 비기다.,"{'word': '힙합', 'start_idx': 24, 'end_idx': 25, 'type': 'GEN'}","{'word': '90년대', 'start_idx': 19, 'end_idx': 22, 'type': 'DAT'}",None
108,힙합이라는 이름은 그랜드마스터 플래쉬 앤 더 퓨리어스 파이브의 래퍼였던 케이스 카우보이가 만들었다고 알려져 있다.,"{'word': '힙합', 'start_idx': 0, 'end_idx': 1, 'type': 'GEN'}","{'word': '케이스 카우보이', 'start_idx': 40, 'end_idx': 47, 'type': 'ART'}",None
114,"초기 블루스 스타일은 컨트리 블루스와 대개 솔로 가수가 직접 기타, 피아노 연주를 하고, 가끔 하모니카와 드럼을 같이 연주를 했다. 당시 잘 알려진 컨트리 블루스 뮤지션으로는 레드 벨리, 블라인드 레몬 제퍼슨, 로버트 존슨 등 있다.","{'word': '블루스', 'start_idx': 3, 'end_idx': 5, 'type': 'GEN'}","{'word': '컨트리 블루스', 'start_idx': 12, 'end_idx': 18, 'type': 'GEN'}",None
119,"초기 블루스 스타일은 컨트리 블루스와 대개 솔로 가수가 직접 기타, 피아노 연주를 하고, 가끔 하모니카와 드럼을 같이 연주를 했다. 당시 잘 알려진 컨트리 블루스 뮤지션으로는 레드 벨리, 블라인드 레몬 제퍼슨, 로버트 존슨 등 있다.","{'word': '컨트리 블루스', 'start_idx': 12, 'end_idx': 18, 'type': 'GEN'}","{'word': '레드 벨리', 'start_idx': 98, 'end_idx': 102, 'type': 'ART'}",None
126,"부기우기의 선구자는 시카고가 기반인 지미 얀시와 부기-우기 트리오 (알버트 암몬스, 피트 존슨 그리고 미드 럭스 루이스)라 할 수 있다.","{'word': '피트 존슨', 'start_idx': 47, 'end_idx': 51, 'type': 'ART'}","{'word': '알버트 암몬스', 'start_idx': 38, 'end_idx': 44, 'type': 'ART'}",None
129,"마 레이니, 그녀 또한 같은 해에 미주리에서 처음으로 블루스를 접했다고 한다.","{'word': '블루스', 'start_idx': 30, 'end_idx': 32, 'type': 'GEN'}","{'word': '미주리', 'start_idx': 19, 'end_idx': 21, 'type': 'LOC'}",None
130,일렉트릭 블루스는 컨트리 블루스와는 여러 면에서 다르다.,"{'word': '컨트리 블루스', 'start_idx': 10, 'end_idx': 16, 'type': 'GEN'}","{'word': '일렉트릭 블루스', 'start_idx': 0, 'end_idx': 7, 'type': 'GEN'}",None
136,처음 발매된 블루스는 1908년 안토니오 마지오의 〈I Got the Blues〉이다.,"{'word': '블루스', 'start_idx': 7, 'end_idx': 9, 'type': 'GEN'}","{'word': '1908년', 'start_idx': 12, 'end_idx': 16, 'type': 'DAT'}",None
148,"그 뒤를 이어 하트 반드의 〈Dallas Blues〉가 1912년 발매되었고, W.C. 핸디의 〈Memphis Blues〉가 같은 해에 나왔다.","{'word': 'Memphis Blues', 'start_idx': 54, 'end_idx': 66, 'type': 'POH'}","{'word': '하트 반드', 'start_idx': 8, 'end_idx': 12, 'type': 'ART'}",None
149,"부기우기 스타일의 개발로 인해 발전한 어반 블루스는 조용하고 사색적인 느낌의 남부 블루스와는 달리 활기차고, 격렬한 느낌을 청중들에게 전달했다.","{'word': '어반 블루스', 'start_idx': 21, 'end_idx': 26, 'type': 'GEN'}","{'word': '부기우기 스타일', 'start_idx': 0, 'end_idx': 7, 'type': 'GEN'}",None
150,"많은 사람들은 재즈가 블루스에서 파생되었다고 보거나, 재즈가 블루스의 시초가 되었다고 생각한다. 그러나 둘다 사실이 아니다.","{'word': '재즈', 'start_idx': 8, 'end_idx': 9, 'type': 'GEN'}","{'word': '블루스', 'start_idx': 34, 'end_idx': 36, 'type': 'GEN'}",None
152,"1950년대 후반, 블루스의 성장과 함께 백인들이 블루스를 받아들이기 시작했고, 블루스 음악을 백인들의 취향에 맞게 가공하면서 록 음악이 생겨나기 시작한 것이다.","{'word': '록 음악', 'start_idx': 71, 'end_idx': 74, 'type': 'GEN'}","{'word': '블루스 음악', 'start_idx': 45, 'end_idx': 50, 'type': 'GEN'}",None
160,"거시윈의 두번째 솔로 피아노 전주곡은 아예 클래식 블루스에서 영감을 받고, 전통화성학으로 완성시켰다.","{'word': '클래식 블루스', 'start_idx': 24, 'end_idx': 30, 'type': 'GEN'}","{'word': '거시윈', 'start_idx': 0, 'end_idx': 2, 'type': 'ART'}",None
161,"남북전쟁 이후, 농장에서 흑인 노예들에 의해 불리었던 할러, 혹은 노동요로 불리는 음악들은 농장제가 없어지면서 동시에 소멸되었지만, 아프리카적 요소들을 고스란히 도입하고 있던 이러한 음악들이 민스트럴 쇼, 교회에서 불리던 복음성가 등과 합쳐지면서 렉타임, 부기우기 등으로 발전 되었고, 블루스의 원류를 형성하는 음악이 된 것이다.","{'word': '부기우기', 'start_idx': 143, 'end_idx': 146, 'type': 'GEN'}","{'word': '할러', 'start_idx': 30, 'end_idx': 31, 'type': 'GEN'}",None
162,"남북전쟁 이후, 농장에서 흑인 노예들에 의해 불리었던 할러, 혹은 노동요로 불리는 음악들은 농장제가 없어지면서 동시에 소멸되었지만, 아프리카적 요소들을 고스란히 도입하고 있던 이러한 음악들이 민스트럴 쇼, 교회에서 불리던 복음성가 등과 합쳐지면서 렉타임, 부기우기 등으로 발전 되었고, 블루스의 원류를 형성하는 음악이 된 것이다.","{'word': '블루스', 'start_idx': 160, 'end_idx': 162, 'type': 'GEN'}","{'word': '부기우기', 'start_idx': 143, 'end_idx': 146, 'type': 'GEN'}",None
163,"남북전쟁 이후, 농장에서 흑인 노예들에 의해 불리었던 할러, 혹은 노동요로 불리는 음악들은 농장제가 없어지면서 동시에 소멸되었지만, 아프리카적 요소들을 고스란히 도입하고 있던 이러한 음악들이 민스트럴 쇼, 교회에서 불리던 복음성가 등과 합쳐지면서 렉타임, 부기우기 등으로 발전 되었고, 블루스의 원류를 형성하는 음악이 된 것이다.","{'word': '블루스', 'start_idx': 160, 'end_idx': 162, 'type': 'GEN'}","{'word': '렉타임', 'start_idx': 138, 'end_idx': 140, 'type': 'GEN'}",None
164,"남북전쟁 이후, 농장에서 흑인 노예들에 의해 불리었던 할러, 혹은 노동요로 불리는 음악들은 농장제가 없어지면서 동시에 소멸되었지만, 아프리카적 요소들을 고스란히 도입하고 있던 이러한 음악들이 민스트럴 쇼, 교회에서 불리던 복음성가 등과 합쳐지면서 렉타임, 부기우기 등으로 발전 되었고, 블루스의 원류를 형성하는 음악이 된 것이다.","{'word': '블루스', 'start_idx': 160, 'end_idx': 162, 'type': 'GEN'}","{'word': '민스트럴 쇼', 'start_idx': 107, 'end_idx': 112, 'type': 'GEN'}",None
166,"남북전쟁 이후, 농장에서 흑인 노예들에 의해 불리었던 할러, 혹은 노동요로 불리는 음악들은 농장제가 없어지면서 동시에 소멸되었지만, 아프리카적 요소들을 고스란히 도입하고 있던 이러한 음악들이 민스트럴 쇼, 교회에서 불리던 복음성가 등과 합쳐지면서 렉타임, 부기우기 등으로 발전 되었고, 블루스의 원류를 형성하는 음악이 된 것이다.","{'word': '복음성가', 'start_idx': 124, 'end_idx': 127, 'type': 'GEN'}","{'word': '흑인 노예', 'start_idx': 14, 'end_idx': 18, 'type': 'COM'}",None
171,"이것을 AAB 패턴이라 칭하는데, 음악의 4마디를 먼저 구성하고, 그 다음 4마디는 앞 4마디를 반복하며, 다음 4마디는 끝나는 구절로 길게 만들었다. 〈Dallas Blues〉 (1912), 〈Saint Louis Blues〉 (1914)는 12마디 형식의 AAB 가사 구조를 취하고 있다.","{'word': 'Saint Louis Blues', 'start_idx': 109, 'end_idx': 125, 'type': 'POH'}","{'word': '1912', 'start_idx': 101, 'end_idx': 104, 'type': 'DAT'}",None
172,재즈는 19세기의 렉타임과 모던 퓨전 음악을 전부 포함하고 있어 범위가 매우 넓기 때문이다.,"{'word': '재즈', 'start_idx': 0, 'end_idx': 1, 'type': 'GEN'}","{'word': '렉타임', 'start_idx': 10, 'end_idx': 12, 'type': 'GEN'}",None
173,재즈는 19세기의 렉타임과 모던 퓨전 음악을 전부 포함하고 있어 범위가 매우 넓기 때문이다.,"{'word': '재즈', 'start_idx': 0, 'end_idx': 1, 'type': 'GEN'}","{'word': '모던 퓨전 음악', 'start_idx': 15, 'end_idx': 22, 'type': 'GEN'}",None
175,재즈는 19세기의 렉타임과 모던 퓨전 음악을 전부 포함하고 있어 범위가 매우 넓기 때문이다.,"{'word': '렉타임', 'start_idx': 10, 'end_idx': 12, 'type': 'GEN'}","{'word': '모던 퓨전 음악', 'start_idx': 15, 'end_idx': 22, 'type': 'GEN'}",None
177,"미국의 30년대는 대공황과 2번에 걸친 세계대전으로 수백만 명의 흑인들이 남부를 떠나 북부 도시로 이동하게 되자, 블루스는 좀 더 넓은 지역으로 펴져나갔고, 도시 환경에 적응하게 되었다.","{'word': '블루스', 'start_idx': 64, 'end_idx': 66, 'type': 'GEN'}","{'word': '남부', 'start_idx': 41, 'end_idx': 42, 'type': 'LOC'}",None
179,"한편 존 리 후커와 머디 워터스는 계속 공연에 집중하면서, 전통적인 블루스에 깊이 빠져있는 새로운 아티스트를 찾는다. 미국 태생인 타지 마할과 같은 사람을 말이다.","{'word': '존 리 후커', 'start_idx': 3, 'end_idx': 8, 'type': 'ART'}","{'word': '타지 마할', 'start_idx': 73, 'end_idx': 77, 'type': 'ART'}",None
181,"또한, 이들의 영향을 받은 롤링 스톤스, 비틀즈, 프리티 싱스(Pretty Sings)와 같은 밴드들이 전면에 나서기 시작하면서, ""브리티시 리듬 앤 블루스(British Rhythm and Blues)""로 불리는 영국 특유의 블루스 음악이 록으로 진화하기 시작한 것이다.","{'word': '브리티시 리듬 앤 블루스', 'start_idx': 74, 'end_idx': 86, 'type': 'GEN'}","{'word': '블루스 음악', 'start_idx': 127, 'end_idx': 132, 'type': 'GEN'}",None
182,"또한, 이들의 영향을 받은 롤링 스톤스, 비틀즈, 프리티 싱스(Pretty Sings)와 같은 밴드들이 전면에 나서기 시작하면서, ""브리티시 리듬 앤 블루스(British Rhythm and Blues)""로 불리는 영국 특유의 블루스 음악이 록으로 진화하기 시작한 것이다.","{'word': 'British Rhythm and Blues', 'start_idx': 88, 'end_idx': 111, 'type': 'GEN'}","{'word': '브리티시 리듬 앤 블루스', 'start_idx': 74, 'end_idx': 86, 'type': 'GEN'}",None
188,"또한, 이들의 영향을 받은 롤링 스톤스, 비틀즈, 프리티 싱스(Pretty Sings)와 같은 밴드들이 전면에 나서기 시작하면서, ""브리티시 리듬 앤 블루스(British Rhythm and Blues)""로 불리는 영국 특유의 블루스 음악이 록으로 진화하기 시작한 것이다.","{'word': 'British Rhythm and Blues', 'start_idx': 88, 'end_idx': 111, 'type': 'GEN'}","{'word': '프리티 싱스', 'start_idx': 28, 'end_idx': 33, 'type': 'ART'}",None
192,"블루스 스케일은 현대 음악 어디에나 존재하며, 많은 장르 안에 분포하고있고, 5도 코드(파워코드)를 사용한 록 음악에서도 사용된다 (예를 들면 비틀즈의 〈A Hard Day's Night〉가 있다). 블루스의 기본틀은 배트맨의 테마곡이고 당시 10대 아이돌이었던 파비안 포르테가 부른 히트곡 〈Turn Me Loose〉, 컨트리 음악의 신 지미 로저스, 그리고 기타리스트이자 보컬리스트인 트레이시 채프먼의 히트곡 〈Give Me One Reason〉에도 사용되었다.","{'word': 'Give Me One Reason', 'start_idx': 232, 'end_idx': 249, 'type': 'POH'}","{'word': '비틀즈', 'start_idx': 80, 'end_idx': 82, 'type': 'ART'}",None
194,"블루스 스케일은 현대 음악 어디에나 존재하며, 많은 장르 안에 분포하고있고, 5도 코드(파워코드)를 사용한 록 음악에서도 사용된다 (예를 들면 비틀즈의 〈A Hard Day's Night〉가 있다). 블루스의 기본틀은 배트맨의 테마곡이고 당시 10대 아이돌이었던 파비안 포르테가 부른 히트곡 〈Turn Me Loose〉, 컨트리 음악의 신 지미 로저스, 그리고 기타리스트이자 보컬리스트인 트레이시 채프먼의 히트곡 〈Give Me One Reason〉에도 사용되었다.","{'word': '블루스', 'start_idx': 0, 'end_idx': 2, 'type': 'GEN'}","{'word': '지미 로저스', 'start_idx': 190, 'end_idx': 195, 'type': 'ART'}",None
